-90426358G;OLHal2ZI;Nertie Boncore;8 Lakewood Trail;37,924152;-5,548795
17282;74;37,758782:3,202795;37,652455:3,583239;24/3/2030 16:12;4840HJZ
17283;9;37,124424:3,136479;37,499588:3,871303;8/5/2035 16:12;5009MNM
-47782329K;Od7vLT6;Emeline Lummis;1 Grayhawk Road;40,661663;-3,033982
17284;1;37,566210:3,418683;37,994812:3,136174;24/6/2033 16:12;5416IFG
17285;8;37,625752:3,357952;37,626881:3,071718;21/7/2044 16:12;4937TML
17286;63;37,239357:3,857143;37,545671:3,430891;10/4/2040 16:12;9885EVO
17287;12;37,644154:3,986358;37,600604:3,366222;24/4/2021 16:12;2614GPP
-57254164M;nH58uvvc;Ardelle Trail;718 Prentice Junction;41,840725;1,700483
17288;49;37,242042:3,590381;37,338267:3,339824;31/10/2022 16:12;0616PNH
17289;8;37,265481:3,828486;37,865566:3,289315;7/7/2024 16:12;0717ZSQ
17290;5;37,806085:3,819300;37,762688:3,206824;5/8/2055 16:12;1119AQE
17291;27;37,665304:3,256081;37,288125:3,341563;16/6/2029 16:12;0955KLU
17292;4;37,200323:3,416639;37,706595:3,218726;14/12/2028 16:12;2400QPF
-10818624R;qC2vhlXhn;Allin Donisthorpe;649 Macpherson Place;40,933105;-6,796663
17293;12;37,835444:3,547472;37,389355:3,479232;5/2/2052 16:12;7100YRZ
17294;9;37,046266:3,789514;37,023041:3,340373;26/4/2038 16:12;8531VVC
17295;17;37,745750:3,584613;37,366710:3,851039;25/12/2019 16:12;7656QKP
17296;40;37,879879:3,415937;37,367229:3,031373;25/3/2022 16:12;4425RZY
17297;1;37,219123:3,624073;37,196539:3,035463;14/3/2048 16:12;4445NOZ
-00818678M;AfPqndzG;Ninette Larkings;13513 Maryland Hill;37,731476;0,118852
17298;8;37,469771:3,952879;37,185400:3,325327;25/4/2021 16:12;3414ALH
17299;7;37,361522:3,304361;37,320383:3,126926;11/9/2045 16:12;1531JTE
17300;35;37,158391:3,141118;37,416272:3,912656;30/6/2022 16:12;8611IGI
17301;15;37,493545:3,780847;37,493149:3,381115;25/3/2039 16:12;9692CWA
-53066104A;z3K38gGa;Hettie Vasechkin;429 Goodland Place;40,288528;-6,642968
17302;63;37,240181:3,055757;37,997711:3,157994;17/11/2024 16:12;6482RGE
17303;6;37,154698:3,173437;37,348949:3,834620;27/5/2033 16:12;3979UYG
17304;4;37,405683:3,551927;37,901059:3,360790;3/7/2034 16:12;9735HKJ
17305;85;37,988037:3,841395;37,163213:3,628742;27/6/2023 16:12;7111DPV
-10186993N;azUhOd98L5;Alika Fentem;6 Hermina Trail;37,136421;-3,477752
17306;7;37,082430:3,189489;37,006104:3,865078;31/5/2044 16:12;4152SZU
17307;65;37,812799:3,537065;37,797021:3,317118;20/3/2050 16:12;3503SXC
17308;6;37,950743:3,036561;37,088656:3,179937;19/5/2043 16:12;4431IFS
17309;49;37,934996:3,935484;37,730003:3,257271;31/7/2029 16:12;0528UBI
17310;22;37,001495:3,743431;37,468398:3,883877;3/12/2046 16:12;1645MOG
-96965131D;E0luDNJ;Crawford Borless;694 Pepper Wood Park;41,540558;-3,498529
17311;19;37,432875:3,510819;37,851100:3,755242;9/4/2042 16:12;8372QXC
17312;2;37,816218:3,922300;37,792871:3,471175;23/10/2023 16:12;4428PXW
17313;9;37,689474:3,975097;37,712058:3,897000;3/2/2022 16:12;2234XHG
17314;58;37,608875:3,008057;37,198859:3,211463;6/2/2032 16:12;9885EVO
-15959162M;KtGeuc6;Chrysler Ghidotti;74 Sachtjen Lane;42,881054;-0,347788
17315;21;37,723869:3,958831;37,964599:3,037446;25/9/2040 16:12;8953JEG
17316;5;37,879727:3,964202;37,231910:3,506241;29/4/2052 16:12;4431IFS
17317;35;37,450026:3,432661;37,180486:3,793115;10/5/2041 16:12;2725PMV
-81653977X;UP1SybJ9;Olivette Huge;142 Basil Lane;36,043400;-0,037270
17318;29;37,314035:3,568133;37,330851:3,317240;16/12/2037 16:12;4683VSX
17319;38;37,731498:3,745354;37,716391:3,272805;28/4/2032 16:12;3796WJC
17320;13;37,146184:3,493851;37,343120:3,901181;21/5/2048 16:12;7136XTO
17321;9;37,988952:3,438307;37,645009:3,871364;10/11/2047 16:12;8821DTE
-20688933S;iu1rdiyvGNRP;Silvana Snoddin;13 Pawling Street;41,359375;0,823898
17322;65;37,379040:3,538713;37,973174:3,147465;22/11/2019 16:12;5386KDU
17323;63;37,035524:3,148503;37,892666:3,682760;5/4/2031 16:12;8822ZSU
-22347277B;mxWz8nmBOeJq;Agna Giacaponi;17221 Parkside Park;40,290848;2,462755
17324;80;37,959685:3,213813;37,826930:3,780328;16/6/2026 16:12;8431VKN
17325;9;37,202765:3,586962;37,136723:3,057253;15/1/2024 16:12;1536MKC
17326;19;37,908841:3,831599;37,485305:3,652974;1/8/2052 16:12;0438NNJ
-57786678W;trxUXI;Iver Newbigging;7 Fordem Alley;36,746418;-7,605367
17327;40;37,549547:3,346934;37,086947:3,952422;16/7/2057 16:12;0052CAS
17328;22;37,669210:3,339518;37,337474:3,638478;12/4/2028 16:12;6244RKZ
17329;20;37,471664:3,610523;37,121220:3,041932;23/9/2057 16:12;6718DMK
17330;36;37,808741:3,094058;37,689230:3,198279;30/12/2047 16:12;6602YNY
-26412092U;HerqAsH;Elnar Schwandt;937 Mcguire Pass;38,192471;-5,634161
17331;20;37,769768:3,656697;37,603473:3,684317;12/6/2049 16:12;8580IWN
17332;45;37,771844:3,362957;37,987701:3,128178;20/11/2034 16:12;9020EDM
-79419729Y;AlWcexwNE7v;Felipe Laybourn;4 Walton Terrace;38,442780;-8,731759
17333;31;37,643696:3,261391;37,131474:3,205451;3/2/2030 16:12;0785MYI
17334;27;37,060427:3,929685;37,348369:3,366375;4/1/2019 16:12;9651LIZ
17335;1;37,450179:3,735771;37,080844:3,716239;30/7/2025 16:12;3841FVG
17336;13;37,034822:3,316507;37,964476:3,774773;9/1/2047 16:12;9662PKX
17337;70;37,267830:3,268166;37,808771:3,969665;4/3/2030 16:12;3147JJU
-99302886T;SBRloul1o9;Culver Widdowson;73900 Schmedeman Court;40,500401;-2,316177
17338;28;37,394971:3,648732;37,964232:3,025727;12/12/2046 16:12;5015ZVK
17339;34;37,217048:3,636006;37,560320:3,930876;11/7/2021 16:12;2014KSC
17340;49;37,541917:3,129307;37,144230:3,638112;10/9/2039 16:12;4218QGC
17341;4;37,218940:3,873043;37,600208:3,941252;6/8/2047 16:12;8541CWE
-83540369F;ThXj9l;Charin Kach;72196 Anhalt Alley;37,726341;-8,910789
17342;21;37,860561:3,861049;37,658437:3,612964;8/9/2048 16:12;7366CDG
17343;48;37,192572:3,946806;37,127079:3,480239;6/4/2031 16:12;6165NOT
17344;81;37,788202:3,933439;37,449171:3,821162;3/12/2030 16:12;0549DGW
17345;48;37,239601:3,483596;37,082980:3,858943;8/2/2033 16:12;3531UGY
-99150276S;M7jIobGWiNz;Kalvin Paulitschke;7500 Lake View Court;41,631252;-8,953164
17346;3;37,886258:3,976867;37,148961:3,094516;4/1/2025 16:12;7088CVC
-57822746W;YjwKFfe8zyz;Blakeley Nelsey;7 Springview Alley;36,604530;-1,173752
17347;43;37,549333:3,034486;37,158544:3,027070;6/9/2020 16:12;2035OGW
17348;73;37,445692:3,452620;37,120396:3,596728;8/7/2053 16:12;8213ITO
17349;40;37,633930:3,240089;37,617176:3,887356;19/12/2020 16:12;0221CWQ
17350;40;37,898221:3,154118;37,946287:3,306711;27/7/2026 16:12;5245CZW
-39440051Y;XD2smj;Eva Worden;0 Buena Vista Avenue;38,297062;-1,985870
17351;17;37,543748:3,254921;37,737968:3,639241;28/10/2044 16:12;7682KDB
17352;25;37,946745:3,958007;37,799249:3,088626;11/10/2040 16:12;4994JEC
17353;9;37,533128:3,548906;37,951018:3,332224;17/3/2033 16:12;4274WAI
17354;15;37,901028:3,840968;37,252388:3,093448;22/7/2057 16:12;3773SEZ
-18516506C;M0YG5hntAM;Olin Fakes;2 Kipling Court;37,997253;-5,576195
17355;83;37,872585:3,136357;37,119388:3,651723;24/11/2034 16:12;4279OTL
-17569080G;kct8GF94;Marve Coneybeer;17 Alpine Way;42,204700;-0,486862
17356;95;37,148808:3,510636;37,070589:3,066195;26/9/2042 16:12;0919LVR
17357;2;37,456191:3,758202;37,274880:3,519852;3/2/2031 16:12;3531KBG
17358;53;37,009308:3,181494;37,361064:3,800684;19/1/2035 16:12;5252VFB
-80665214A;HqNVs1reH;Jedidiah Drinkel;66 Forest Court;41,799026;-7,675540
17359;2;37,544450:3,708914;37,707663:3,629109;8/9/2056 16:12;2706NHE
17360;28;37,254952:3,023164;37,828608:3,415967;8/11/2022 16:12;0873GWX
17361;1;37,353252:3,341868;37,806543:3,265755;23/3/2037 16:12;4563WTK
17362;26;37,098544:3,879513;37,407514:3,281961;4/4/2058 16:12;2432BHH
17363;30;37,708060:3,747124;37,656209:3,550523;19/7/2051 16:12;5531NLN
-62427477D;zT4dF5zFL;Ezechiel Lampen;1 Eggendart Point;38,445442;-2,794677
17364;44;37,361553:3,789514;37,787286:3,730491;5/10/2040 16:12;3147JJU
17365;22;37,463271:3,045289;37,337077:3,519089;17/4/2057 16:12;4274WAI
17366;8;37,102786:3,573840;37,534989:3,296457;6/6/2055 16:12;6857ZBR
-45793792H;z1XG6sdo9aa;Uri Carah;3356 Butternut Center;40,505753;-1,841301
17367;5;37,300913:3,414808;37,440718:3,591235;28/2/2032 16:12;8066QEF
-71686402T;DhhwY97;Maximilianus Severns;38218 Park Meadow Plaza;41,062115;-8,275018
17368;69;37,880398:3,449507;37,649159:3,675466;5/7/2037 16:12;4923XHA
17369;5;37,106906:3,690695;37,464614:3,619343;16/7/2039 16:12;4686CWH
17370;6;37,948607:3,664205;37,051912:3,345408;24/7/2046 16:12;8953JEG
17371;1;37,782098:3,554216;37,688528:3,548387;10/8/2036 16:12;2844WZT
-78075343I;T9QMSLYG9J;Timmy Beckitt;69072 Hagan Plaza;38,881573;0,086323
17372;2;37,902890:3,312204;37,331370:3,629902;5/8/2028 16:12;1714ZNZ
17373;16;37,874630:3,480789;37,281747:3,868892;23/6/2025 16:12;8758KXO
-91752741V;6LX1kfvzGYi;Roscoe Doogue;75641 Meadow Ridge Trail;36,093002;-5,381923
17374;35;37,643178:3,343303;37,188757:3,995025;2/2/2039 16:12;0011KLW
17375;65;37,727866:3,877499;37,593707:3,502548;23/2/2026 16:12;5352TRC
17376;5;37,051881:3,545793;37,750603:3,619770;21/7/2037 16:12;4618IKE
17377;2;37,670675:3,303354;37,954466:3,707572;10/2/2034 16:12;3531KBG
-87023581B;zG59MFm5Hqee;Mariquilla Terrans;4 Montana Plaza;36,174362;2,754795
17378;3;37,082186:3,061831;37,057894:3,770837;24/5/2032 16:12;6827NBM
-87553610B;yAGIFq;Ebonee Hulcoop;198 Kim Avenue;38,437565;-7,219838
17379;21;37,890744:3,865566;37,885159:3,846065;21/10/2020 16:12;6983QQW
17380;11;37,430952:3,146580;37,561876:3,934843;9/9/2030 16:12;7093ENH
17381;22;37,311502:3,626728;37,096927:3,561144;24/4/2043 16:12;0418VHX
-60276102X;IcmyMGPj;Aveline Eytel;1 Glendale Parkway;41,466255;-8,913134
17382;6;37,724540:3,143529;37,615741:3,928434;18/11/2030 16:12;2454PVO
-04052881T;cMbkIBKU2;Keenan Sam;4 Graceland Alley;36,052631;0,200351
17383;6;37,578143:3,453200;37,467635:3,781732;22/6/2057 16:12;4601ZOH
17384;25;37,792932:3,905210;37,450575:3,223670;8/4/2056 16:12;1876HNZ
17385;25;37,188696:3,334117;37,455123:3,370190;10/2/2051 16:12;8417IKW
17386;2;37,226844:3,511124;37,518693:3,192663;25/7/2021 16:12;2643VCF
-79671790S;p00FQBRDfOAy;Rosabel Pervew;52 Anzinger Alley;36,398518;-1,702106
17387;57;37,596423:3,017335;37,779321:3,348369;1/6/2057 16:12;7796XGX
17388;36;37,001007:3,110111;37,488601:3,150884;1/4/2046 16:12;8457LWT
17389;16;37,827296:3,955046;37,798181:3,434645;25/11/2042 16:12;8969JKP
17390;9;37,382000:3,957305;37,691549:3,390576;13/5/2052 16:12;1295VQD
17391;29;37,442274:3,327494;37,250069:3,049532;18/3/2045 16:12;6224HSQ
-23211567U;E47b89R;Rebekkah Arniz;1430 Pleasure Parkway;41,337337;-1,078267
17392;5;37,602191:3,050203;37,784234:3,161687;2/1/2046 16:12;0167BZV
-62126961X;NneuYhwCLp2;Karmen Dearlove;28 Randy Street;41,326523;-0,828204
17393;55;37,290445:3,615772;37,169561:3,441694;8/9/2040 16:12;9085UGV
17394;5;37,318613:3,698172;37,415052:3,187841;18/2/2030 16:12;9539UTV
17395;23;37,358837:3,775872;37,844630:3,041505;9/4/2022 16:12;3773SEZ
17396;3;37,345836:3,441542;37,413648:3,838496;22/1/2056 16:12;1484TGQ
17397;12;37,685995:3,787927;37,333781:3,952025;28/7/2022 16:12;0857YZU
-77490559W;uM9w2ZkzVYM;Ian Cale;093 Monica Center;37,518204;2,280106
17398;20;37,702841:3,441877;37,801782:3,461653;1/2/2039 16:12;3349TRF
-97512451I;Y5pmlzMgnO;Tanner Baterip;3 Burning Wood Crossing;39,359024;-8,344988
17399;12;37,356517:3,479598;37,623951:3,992370;16/5/2019 16:12;3646DYA
17400;4;37,938902:3,791742;37,283853:3,227485;23/8/2054 16:12;3268URV
17401;58;37,446242:3,302042;37,065706:3,184179;3/4/2027 16:12;3348MPQ
-52600697F;TQfMKlPf1;Skipper Gower;34521 Derek Lane;42,065857;-6,660993
17402;41;37,597766:3,702017;37,754387:3,175115;7/11/2034 16:12;9396HPW
17403;84;37,685293:3,211798;37,307749:3,753746;29/11/2022 16:12;8558LSN
17404;17;37,630299:3,810816;37,593158:3,664052;17/8/2040 16:12;2584BUS
17405;30;37,158330:3,050233;37,950285:3,670278;5/8/2030 16:12;2584BUS
-47364464L;8DBWqUstjo;Cristobal Pawle;08896 Chinook Pass;40,933994;-4,540572
17406;30;37,906278:3,627430;37,551561:3,192328;29/5/2053 16:12;7334RFT
17407;8;37,670034:3,665914;37,968017:3,523453;21/11/2033 16:12;5381DHG
17408;28;37,136937:3,720145;37,658650:3,881344;16/12/2036 16:12;5054COG
17409;3;37,824122:3,083346;37,041322:3,071383;5/9/2033 16:12;9010HWY
-99646889V;4yqHmLA;Ansel Ellaway;77306 Kim Road;39,954594;-3,751331
17410;65;37,325938:3,963012;37,209174:3,882199;26/3/2036 16:12;1180BNZ
17411;29;37,446364:3,216773;37,750755:3,155095;24/8/2038 16:12;7334RFT
17412;65;37,263131:3,868709;37,140202:3,111942;3/12/2022 16:12;8558LSN
-60844896S;WXNpuEQ43tl;Gino Oldcroft;55 Vahlen Street;41,216358;-4,423960
17413;22;37,118381:3,322855;37,928220:3,533341;6/5/2019 16:12;4034UIO
17414;29;37,012787:3,649251;37,927580:3,864315;4/6/2047 16:12;0921UUE
17415;40;37,518357:3,628193;37,099979:3,634236;10/5/2047 16:12;5332MGI
17416;60;37,411756:3,314188;37,094455:3,183874;9/9/2047 16:12;6000QOI
17417;3;37,405896:3,659658;37,021577:3,042756;7/1/2030 16:12;6877STT
-68206049L;nvhAY3G4v;Dave Gouldsmith;79925 Dunning Road;37,307125;-6,175590
17418;5;37,168371:3,810755;37,507645:3,424940;22/8/2043 16:12;4131WXL
-54301751X;KKj3bsN;Florie Caffin;2 Moose Street;40,297913;2,036479
17419;14;37,354198:3,394330;37,546190:3,532334;29/9/2037 16:12;6024TDO
17420;1;37,062197:3,754234;37,260414:3,358989;15/2/2056 16:12;5744BOL
17421;1;37,371258:3,653127;37,994263:3,038087;2/12/2025 16:12;0955KLU
17422;37;37,051149:3,576281;37,543901:3,417249;5/4/2022 16:12;1163HIZ
-54415876X;zdnxPCoyDxi;Alys Oke;2854 Reindahl Street;42,989513;-6,962627
17423;37;37,826044:3,144658;37,742698:3,281106;8/12/2019 16:12;5223SXZ
17424;55;37,520798:3,568438;37,283639:3,465835;4/4/2024 16:12;3948CMF
17425;68;37,042390:3,108097;37,741966:3,103916;5/8/2029 16:12;8403AWH
-16825744C;Yf25HSqr;Diannne Kelsell;6 Bellgrove Street;38,325218;-7,798762
17426;4;37,309427:3,612964;37,843135:3,092441;22/10/2024 16:12;2137IOC
17427;5;37,532701:3,162023;37,836024:3,231971;17/11/2024 16:12;4440SZD
17428;16;37,731590:3,210303;37,489090:3,175970;1/8/2029 16:12;8558LSN
17429;9;37,017518:3,453749;37,787317:3,007874;4/8/2033 16:12;6827NBM
17430;4;37,304147:3,884854;37,775658:3,002289;10/2/2031 16:12;6873KAF
-96436298M;pireewq;Devin Baynton;229 Springview Place;41,381241;-5,889166
17431;63;37,189367:3,008087;37,939360:3,548601;30/8/2055 16:12;4838RSS
17432;79;37,056215:3,224647;37,258217:3,976775;12/9/2024 16:12;1125GFW
17433;8;37,951109:3,852992;37,272378:3,300119;27/1/2033 16:12;6133YNN
-01381357R;5SY01m;Samara Palethorpe;276 Carberry Pass;39,543758;0,408977
17434;36;37,351390:3,741234;37,431166:3,055239;28/5/2051 16:12;6942WEU
17435;28;37,494156:3,971221;37,710837:3,217109;1/9/2029 16:12;5433XWR
-87647584H;RV0OHn;Ulrika Poacher;6 Melvin Court;36,584454;-4,824944
17436;16;37,670980:3,210578;37,454695:3,722678;3/3/2037 16:12;3483URN
17437;6;37,254402:3,838252;37,431532:3,320475;2/6/2042 16:12;6622URZ
17438;2;37,420850:3,205054;37,698233:3,309519;9/2/2038 16:12;2597OIZ
17439;19;37,568438:3,763421;37,447462:3,962676;29/4/2058 16:12;5495IVK
-30428482N;ksC1AkK1TE;Wilton Popeley;0 Monterey Lane;42,262421;-3,403052
17440;3;37,620685:3,636158;37,720145:3,762810;24/12/2029 16:12;7282USN
17441;1;37,792047:3,918546;37,142613:3,568010;6/3/2022 16:12;5726WEH
17442;54;37,430555:3,574786;37,549181:3,748466;16/3/2046 16:12;6661GME
17443;35;37,291086:3,664449;37,316111:3,464003;4/8/2032 16:12;5433XWR
-79007233U;Po889tVEYmK;Jeff Sawart;0559 Sherman Court;36,825619;0,836696
17444;77;37,559954:3,899564;37,678549:3,137333;16/4/2044 16:12;3207XJV
17445;3;37,890133:3,242805;37,986297:3,553789;3/8/2033 16:12;6956RYH
17446;47;37,562151:3,576281;37,572466:3,971038;5/9/2040 16:12;3503HGH
17447;33;37,041292:3,642689;37,269021:3,383831;30/4/2047 16:12;2116CEF
17448;10;37,405591:3,868618;37,995178:3,655568;5/8/2039 16:12;2330FUU
-35273293M;0Rb82P3nZf;Ursula Lamb;1 Talmadge Park;36,368164;-3,011095
17449;20;37,765648:3,894803;37,222938:3,219611;7/12/2058 16:12;7750MKP
17450;46;37,414136:3,906156;37,709647:3,802332;29/7/2045 16:12;3928TAR
17451;15;37,487838:3,720817;37,509598:3,995575;6/12/2032 16:12;8097NWA
17452;46;37,667959:3,655019;37,201727:3,864711;6/3/2034 16:12;9192GWZ
-55345498X;cGE4qMm;Asher Le-Good;3 Clyde Gallagher Terrace;41,006428;-8,201476
17453;59;37,524186:3,400769;37,677816:3,631794;13/8/2048 16:12;0009COI
17454;13;37,370067:3,748497;37,917539:3,240516;19/4/2052 16:12;3403BIT
17455;36;37,120487:3,674825;37,777398:3,229682;10/1/2053 16:12;3348MPQ
-09689747E;SMTcHllX;Brantley Loughney;6 Dottie Lane;36,174000;-5,453007
17456;50;37,384533:3,660817;37,143559:3,532823;10/4/2038 16:12;8827ECL
-26995707L;4g9qhvGg;Noemi Shurrocks;35 Utah Point;41,606495;2,568459
17457;3;37,551256:3,217017;37,113865:3,248634;4/1/2034 16:12;1454JEB
17458;34;37,532182:3,685873;37,779138:3,062532;10/8/2046 16:12;4440SZD
17459;29;37,703818:3,435072;37,261910:3,812922;16/6/2038 16:12;0785MYI
17460;29;37,948637:3,371807;37,125156:3,900967;1/11/2037 16:12;6201SGL
17461;1;37,715842:3,014924;37,002167:3,143284;10/5/2039 16:12;3941ENJ
-38445680N;KwOM150o6rE;Bondie O'Dooghaine;5941 Cambridge Trail;36,868774;1,027778
17462;2;37,808649:3,108066;37,720359:3,098025;17/9/2042 16:12;2706NHE
17463;6;37,164678:3,454360;37,903256:3,007508;28/5/2044 16:12;0021CFD
17464;46;37,498886:3,975524;37,839564:3,387249;1/4/2027 16:12;3069QAI
-46707997D;2EGXhpVSGk6t;Jewel Joynson;74 Sunbrook Pass;36,459011;2,644299
17465;20;37,878140:3,253334;37,574236:3,237709;15/6/2020 16:12;0712KKX
17466;77;37,778130:3,771447;37,771416:3,323222;5/5/2022 16:12;6117QJL
17467;79;37,466079:3,408246;37,753349:3,541063;8/2/2030 16:12;9115RTL
17468;35;37,166967:3,328440;37,045473:3,249641;24/4/2053 16:12;3529KYW
17469;4;37,800012:3,577624;37,711325:3,606677;24/2/2041 16:12;3934CGF
-18821172P;yPUHOV;Maybelle Suggitt;0251 Carey Road;37,772182;-4,228773
17470;47;37,432814:3,079958;37,388195:3,720450;24/11/2050 16:12;6381XIB
17471;2;37,013489:3,172796;37,817652:3,757347;18/11/2037 16:12;6982KFR
-40807871V;PLlmxQqq3Ug;Camala Cardwell;4 Sauthoff Way;39,151695;2,163441
17472;13;37,506729:3,226661;37,885891:3,734336;3/1/2030 16:12;2786CDD
17473;25;37,620289:3,523026;37,486709:3,206183;7/6/2053 16:12;1641HSG
17474;7;37,597308:3,474868;37,663472:3,476608;5/2/2030 16:12;5539NKY
17475;6;37,953215:3,374126;37,091189:3,655477;19/4/2036 16:12;1500YFM
-67459980R;37mzaFOHTr;Porter Litt;310 Monica Street;42,079765;-4,525040
17476;20;37,463301:3,635365;37,343516:3,146153;17/5/2033 16:12;1947ZSC
-46935702L;ZyXFxW;Thaine von Hagt;62098 Sachtjen Parkway;36,105621;0,422748
17477;48;37,688742:3,982971;37,779595:3,272469;21/11/2019 16:12;4642QTN
17478;15;37,179693:3,440016;37,963836:3,845271;7/4/2038 16:12;1125GFW
-88129385I;G85RoOC354;Mureil Jaggli;17897 Stuart Center;39,115463;-2,225313
17479;19;37,644581:3,517747;37,584429:3,384594;21/11/2036 16:12;6596IUK
-31283169S;K7fL0emHC;Vidovik Phalip;264 Texas Park;40,104370;-6,050873
17480;11;37,402234:3,847438;37,435591:3,100009;29/4/2025 16:12;7093ENH
-84669680P;HKPEV9e;Noreen Volke;41958 Longview Circle;42,919102;-7,528819
17481;3;37,975463:3,058718;37,004059:3,487503;22/9/2047 16:12;1303BKN
17482;19;37,655782:3,137944;37,782983:3,728324;13/1/2039 16:12;6096VMS
-50408777O;hhoPBBXfE;Latashia Mirfield;93 Ryan Avenue;37,185452;-1,246271
17483;14;37,839595:3,123692;37,047670:3,958007;29/8/2038 16:12;0912YNK
17484;10;37,382000:3,118717;37,246406:3,526200;2/12/2023 16:12;6501WIF
17485;4;37,964599:3,601459;37,049165:3,446333;28/8/2046 16:12;3842SIN
17486;16;37,376293:3,253822;37,008820:3,585925;22/5/2031 16:12;2792EQL
17487;55;37,062807:3,658742;37,674734:3,182196;15/11/2038 16:12;8755VEF
-33473505I;i4Hr1U;Ariel Posnett;8335 Victoria Point;36,846539;-8,672580
17488;9;37,000153:3,257424;37,555681:3,754967;25/12/2026 16:12;8531VVC
17489;40;37,988952:3,514512;37,407422:3,175665;16/6/2042 16:12;5078XLQ
-43062497A;Y72KBpP6SK;Dennie Perkins;6734 Macpherson Way;37,851681;-7,605801
17490;38;37,122898:3,054659;37,900235:3,143529;28/4/2049 16:12;9316HZP
17491;71;37,949370:3,035981;37,616382:3,408643;16/5/2050 16:12;2133MSF
-12728094W;CxC6wX1A1x;Nikki Stainsby;4801 Columbus Court;36,756763;-3,485228
17492;13;37,148503:3,315714;37,856471:3,893429;18/8/2043 16:12;6201SGL
17493;70;37,876217:3,159734;37,149846:3,392499;27/1/2043 16:12;6389QTG
17494;32;37,910001:3,339488;37,960295:3,745750;9/12/2023 16:12;5050LGE
17495;3;37,304331:3,980773;37,865413:3,224311;13/6/2034 16:12;9299IQB
-33380822O;4AeWV15;Broderic Mil;55 Pennsylvania Court;37,643654;-6,524010
17496;2;37,297708:3,216529;37,793237:3,530259;13/2/2025 16:12;3651VJM
17497;9;37,414747:3,582934;37,884518:3,619190;21/4/2040 16:12;0380JGQ
17498;13;37,477737:3,258461;37,793786:3,263527;17/9/2032 16:12;3764HIY
17499;33;37,972320:3,966704;37,553728:3,335185;12/7/2024 16:12;2584BUS
-29419432F;amvSLHGRX;Raddy Wrangle;4 Springview Court;37,691231;0,192235
17500;31;37,529710:3,505112;37,359844:3,602985;1/12/2052 16:12;7691LHS
-35796421S;3M5UwnYc;Nichole Brehault;45 Prentice Park;42,274551;-5,740662
17501;4;37,098331:3,535142;37,383679:3,860073;12/4/2020 16:12;6873KAF
-75317380O;hRTB7ncY;Corena Obispo;3 Arrowood Lane;37,520817;-7,139537
17502;44;37,109195:3,154027;37,806696:3,749168;25/6/2052 16:12;9274VBW
17503;13;37,720634:3,699515;37,511093:3,870113;14/11/2037 16:12;4589QWW
17504;2;37,659749:3,021973;37,436537:3,847499;3/12/2046 16:12;8413WSJ
17505;6;37,848872:3,263314;37,445051:3,514786;12/11/2035 16:12;1813YBQ
-93101261U;MaqO4TfNS;Lucy Danielian;52036 Pine View Place;41,041767;-0,773647
17506;14;37,637501:3,644795;37,230201:3,075259;28/7/2033 16:12;6488YFB
17507;16;37,822565:3,032533;37,368877:3,850124;14/6/2048 16:12;4279OTL
-08710024J;kpaVJtyBbl;Rakel Justis;8448 Quincy Plaza;41,207439;-2,948001
17508;13;37,541307:3,369274;37,801874:3,561480;18/4/2027 16:12;6244RKZ
-88102695X;yGgxQMxBsz;Cully Fox;9 Sunnyside Drive;39,870872;-2,868296
17509;69;37,309427:3,584857;37,588977:3,064058;27/10/2028 16:12;5015ZVK
17510;1;37,573290:3,311960;37,679434:3,370342;13/2/2037 16:12;0164ATN
17511;58;37,608051:3,879452;37,600726:3,278115;7/7/2044 16:12;0929OVX
17512;5;37,611835:3,747978;37,395825:3,086642;15/3/2046 16:12;9316HZP
-59938555I;gV0U5uYp;Cointon Churching;8 Rigney Court;36,448383;-1,815938
17513;23;37,097171:3,935087;37,383190:3,525651;21/11/2044 16:12;6661GME
17514;7;37,365856:3,949492;37,900327:3,044527;2/6/2020 16:12;0189DDK
-27342935O;MkLOZf7GpV;Burnard Pozer;71169 Milwaukee Terrace;39,862450;-5,201629
17515;12;37,828578:3,227851;37,965270:3,105991;3/7/2033 16:12;1213ASY
-56187883L;o5VPhCU;Reese St. Queintain;101 Stone Corner Terrace;40,864754;-7,761609
17516;55;37,261757:3,233558;37,896023:3,525407;11/1/2053 16:12;8066QEF
17517;51;37,339549:3,659536;37,725578:3,589923;2/12/2045 16:12;8431VKN
17518;47;37,574908:3,362590;37,869411:3,257393;6/5/2033 16:12;4783AVD
-27892128B;JculnE;Rod Guwer;2673 Eagan Road;42,383232;-0,691200
17519;11;37,215491:3,179479;37,053041:3,649312;22/9/2041 16:12;9103EPH
17520;12;37,637440:3,826106;37,769127:3,027467;17/4/2034 16:12;2802YPB
-22859884E;TWHatL;Madge Airdrie;46113 Arapahoe Road;38,531612;-5,501419
17521;3;37,444838:3,863735;37,500168:3,891049;7/6/2051 16:12;6802MVY
17522;55;37,964293:3,511399;37,762902:3,793695;27/6/2026 16:12;8433RSQ
17523;14;37,176885:3,906949;37,469741:3,215949;6/1/2037 16:12;4103RID
17524;66;37,715934:3,305765;37,266274:3,170690;20/9/2029 16:12;6482RGE
17525;50;37,881222:3,868862;37,732414:3,625050;12/4/2053 16:12;3333LNH
-32294231P;c41sTC9e6xmx;Nels Whitlow;3 Oakridge Avenue;38,753895;2,753437
17526;11;37,656880:3,323374;37,854091:3,890866;23/9/2024 16:12;5386CMX
